성별,연령,직업,학력,유형,거래기간,뱅킹이용이간,뱅킹갯수,품질1,품질2,품질3,품질4,품질5,품질6,기업이미지1,기업이미지2,기업이미지3,사회적실재감1,사회적실재감2,사회적실재감3,사회적실재감4,신뢰도1,신뢰도2,신뢰도3,만족도1,만족도2,만족도3,만족도4,만족도5,충성도1,충성도2,충성도3,충성도4,충성도5
2,2,1,2,2,5,5,4,5,5,4,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4
1,2,2,1,1,5,5,3,5,4,3,3,3,3,3,3,4,3,3,3,2,4,4,4,3,3,3,3,4,4,5,4,4,3
1,1,4,2,1,2,1,4,5,5,4,4,3,4,3,3,3,2,3,2,1,4,4,4,3,2,3,3,3,2,3,2,2,1
2,2,1,2,1,5,3,2,5,4,3,2,2,4,2,3,2,1,3,2,3,4,4,3,4,4,3,3,4,2,4,4,4,4
2,2,1,1,2,5,5,4,4,4,3,3,3,4,3,3,3,2,2,2,2,4,4,4,3,3,3,3,4,3,4,4,2,4
2,2,1,1,2,5,5,2,3,3,1,2,1,2,1,1,1,2,2,3,3,1,2,2,1,1,2,1,1,1,1,1,1,1
2,2,1,1,2,5,5,1,1,2,2,3,1,2,1,2,1,2,1,2,2,2,1,3,1,1,1,1,2,1,1,1,1,1
1,3,1,1,2,5,2,3,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,2,5,5,3,3,3,3,3,3,3,2,2,3,2,1,1,1,3,3,2,2,2,2,2,3,2,3,3,2,2
1,4,1,2,2,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,2,1,2,2,2,2,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,4,1,1,2,5,5,2,4,3,3,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,4,5,4,3,3
1,4,1,1,2,3,3,3,3,3,3,4,2,4,2,2,3,4,2,2,2,4,2,2,3,1,3,2,3,5,3,2,4,2
2,1,1,1,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,3,1,2,2,5,3,1,3,3,2,2,4,2,3,3,2,3,4,3,3,3,3,3,2,4,3,3,3,3,3,4,4,4
1,3,1,1,2,5,3,3,4,3,4,4,2,4,3,3,4,4,2,2,2,4,4,3,3,3,3,2,4,2,4,4,2,3
1,2,1,2,2,5,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,4,5,4,5,5,5
2,2,1,2,2,5,3,3,5,4,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,4,3,3,3,1,1
1,3,1,2,1,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3
1,4,3,1,1,5,5,1,4,4,4,5,4,5,4,5,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4
2,1,1,2,1,3,3,4,4,3,3,4,2,4,3,4,3,2,2,2,2,3,4,4,3,5,4,4,4,4,5,5,4,4
2,3,4,3,1,2,2,4,5,3,4,4,4,3,4,4,4,3,3,3,3,2,2,4,3,2,2,3,5,4,5,4,4,4
1,4,1,2,2,5,5,4,5,5,4,5,5,5,4,5,5,4,4,4,4,5,5,5,4,5,5,5,5,4,5,5,4,5
2,3,3,1,1,5,2,3,5,4,3,3,2,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
1,2,1,2,1,3,3,2,5,5,5,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
1,3,1,2,2,5,5,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3
2,2,1,3,2,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,2,4,4,4,4,4,3,3,4,3,4,4,3,3
1,2,1,1,2,5,5,3,2,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,4,2,2,4,2,4,4,2,2
2,4,4,1,1,5,3,2,1,4,4,5,3,3,4,3,4,4,4,4,2,2,4,4,3,2,2,2,2,3,3,4,3,3
1,2,1,3,2,5,5,4,4,4,4,4,4,5,3,3,4,2,2,2,1,4,4,5,4,4,4,4,4,5,5,5,4,4
1,4,3,1,1,2,1,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
1,3,1,3,2,5,5,4,5,4,4,4,3,3,3,3,3,3,3,3,3,4,4,2,2,2,2,2,3,3,4,3,2,1
1,3,1,2,1,5,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3
1,4,3,1,1,3,2,1,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
